Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
2016-10-15 01:34:18.610808: step 0, loss = 4.67 (5.9 examples/sec; 21.874 sec/batch)
2016-10-15 01:34:21.054785: step 10, loss = 4.61 (751.1 examples/sec; 0.170 sec/batch)
2016-10-15 01:34:22.835321: step 20, loss = 4.57 (720.8 examples/sec; 0.178 sec/batch)
2016-10-15 01:34:24.621741: step 30, loss = 4.37 (736.9 examples/sec; 0.174 sec/batch)
2016-10-15 01:34:26.390990: step 40, loss = 4.32 (727.2 examples/sec; 0.176 sec/batch)
2016-10-15 01:34:28.168118: step 50, loss = 4.22 (740.5 examples/sec; 0.173 sec/batch)
2016-10-15 01:34:29.952607: step 60, loss = 4.19 (745.6 examples/sec; 0.172 sec/batch)
2016-10-15 01:34:31.728494: step 70, loss = 4.41 (716.2 examples/sec; 0.179 sec/batch)
2016-10-15 01:34:33.504632: step 80, loss = 4.27 (706.1 examples/sec; 0.181 sec/batch)
2016-10-15 01:34:35.278946: step 90, loss = 4.20 (729.7 examples/sec; 0.175 sec/batch)
2016-10-15 01:34:37.058628: step 100, loss = 4.12 (742.5 examples/sec; 0.172 sec/batch)
2016-10-15 01:34:39.012238: step 110, loss = 4.13 (713.8 examples/sec; 0.179 sec/batch)
2016-10-15 01:34:40.788833: step 120, loss = 4.04 (711.2 examples/sec; 0.180 sec/batch)
2016-10-15 01:34:42.556765: step 130, loss = 3.88 (726.8 examples/sec; 0.176 sec/batch)
2016-10-15 01:34:44.335482: step 140, loss = 4.08 (723.2 examples/sec; 0.177 sec/batch)
2016-10-15 01:34:46.117547: step 150, loss = 3.95 (707.4 examples/sec; 0.181 sec/batch)
2016-10-15 01:34:47.894651: step 160, loss = 4.14 (721.6 examples/sec; 0.177 sec/batch)
2016-10-15 01:34:49.679959: step 170, loss = 4.04 (699.6 examples/sec; 0.183 sec/batch)
2016-10-15 01:34:51.450792: step 180, loss = 3.87 (738.0 examples/sec; 0.173 sec/batch)
2016-10-15 01:34:53.239915: step 190, loss = 3.87 (724.5 examples/sec; 0.177 sec/batch)
2016-10-15 01:34:55.024436: step 200, loss = 3.86 (725.1 examples/sec; 0.177 sec/batch)
2016-10-15 01:34:56.979065: step 210, loss = 3.83 (717.2 examples/sec; 0.178 sec/batch)
2016-10-15 01:34:58.751108: step 220, loss = 3.75 (720.5 examples/sec; 0.178 sec/batch)
2016-10-15 01:35:00.528856: step 230, loss = 3.83 (729.9 examples/sec; 0.175 sec/batch)
2016-10-15 01:35:02.328010: step 240, loss = 3.70 (716.1 examples/sec; 0.179 sec/batch)
2016-10-15 01:35:04.107271: step 250, loss = 3.69 (726.1 examples/sec; 0.176 sec/batch)
2016-10-15 01:35:05.875852: step 260, loss = 3.69 (720.4 examples/sec; 0.178 sec/batch)
2016-10-15 01:35:07.648432: step 270, loss = 3.58 (723.8 examples/sec; 0.177 sec/batch)
2016-10-15 01:35:09.425679: step 280, loss = 3.57 (727.1 examples/sec; 0.176 sec/batch)
2016-10-15 01:35:11.192631: step 290, loss = 3.57 (740.8 examples/sec; 0.173 sec/batch)
2016-10-15 01:35:12.977152: step 300, loss = 3.58 (695.5 examples/sec; 0.184 sec/batch)
2016-10-15 01:35:14.929992: step 310, loss = 3.65 (744.5 examples/sec; 0.172 sec/batch)
2016-10-15 01:35:16.703616: step 320, loss = 3.63 (700.0 examples/sec; 0.183 sec/batch)
2016-10-15 01:35:18.475760: step 330, loss = 3.50 (724.6 examples/sec; 0.177 sec/batch)
2016-10-15 01:35:20.244446: step 340, loss = 3.41 (726.9 examples/sec; 0.176 sec/batch)
2016-10-15 01:35:22.019312: step 350, loss = 3.48 (737.1 examples/sec; 0.174 sec/batch)
2016-10-15 01:35:23.793526: step 360, loss = 3.64 (736.7 examples/sec; 0.174 sec/batch)
2016-10-15 01:35:25.575495: step 370, loss = 3.31 (713.9 examples/sec; 0.179 sec/batch)
2016-10-15 01:35:27.347404: step 380, loss = 3.46 (718.2 examples/sec; 0.178 sec/batch)
2016-10-15 01:35:29.136666: step 390, loss = 3.63 (688.9 examples/sec; 0.186 sec/batch)
2016-10-15 01:35:30.916339: step 400, loss = 3.83 (661.2 examples/sec; 0.194 sec/batch)
2016-10-15 01:35:32.870842: step 410, loss = 3.47 (714.9 examples/sec; 0.179 sec/batch)
2016-10-15 01:35:34.643254: step 420, loss = 3.30 (707.2 examples/sec; 0.181 sec/batch)
2016-10-15 01:35:36.412799: step 430, loss = 3.34 (726.9 examples/sec; 0.176 sec/batch)
2016-10-15 01:35:38.193041: step 440, loss = 3.36 (709.2 examples/sec; 0.180 sec/batch)
2016-10-15 01:35:39.967921: step 450, loss = 3.37 (722.1 examples/sec; 0.177 sec/batch)
2016-10-15 01:35:41.748794: step 460, loss = 3.08 (734.5 examples/sec; 0.174 sec/batch)
2016-10-15 01:35:43.522034: step 470, loss = 3.40 (730.4 examples/sec; 0.175 sec/batch)
2016-10-15 01:35:45.292209: step 480, loss = 3.24 (753.9 examples/sec; 0.170 sec/batch)
2016-10-15 01:35:47.067831: step 490, loss = 3.13 (746.0 examples/sec; 0.172 sec/batch)
2016-10-15 01:35:48.851015: step 500, loss = 3.14 (710.2 examples/sec; 0.180 sec/batch)
2016-10-15 01:35:50.805144: step 510, loss = 3.18 (713.7 examples/sec; 0.179 sec/batch)
2016-10-15 01:35:52.581229: step 520, loss = 3.20 (726.8 examples/sec; 0.176 sec/batch)
2016-10-15 01:35:54.352386: step 530, loss = 3.02 (742.4 examples/sec; 0.172 sec/batch)
2016-10-15 01:35:56.131355: step 540, loss = 3.04 (726.3 examples/sec; 0.176 sec/batch)
2016-10-15 01:35:57.910569: step 550, loss = 3.16 (733.9 examples/sec; 0.174 sec/batch)
2016-10-15 01:35:59.683372: step 560, loss = 3.01 (714.5 examples/sec; 0.179 sec/batch)
2016-10-15 01:36:01.449857: step 570, loss = 3.16 (727.8 examples/sec; 0.176 sec/batch)
2016-10-15 01:36:03.226657: step 580, loss = 2.95 (716.9 examples/sec; 0.179 sec/batch)
2016-10-15 01:36:04.997456: step 590, loss = 3.15 (734.1 examples/sec; 0.174 sec/batch)
2016-10-15 01:36:06.775310: step 600, loss = 2.92 (714.2 examples/sec; 0.179 sec/batch)
2016-10-15 01:36:08.735298: step 610, loss = 2.88 (706.2 examples/sec; 0.181 sec/batch)
2016-10-15 01:36:10.507166: step 620, loss = 2.82 (715.3 examples/sec; 0.179 sec/batch)
2016-10-15 01:36:12.282170: step 630, loss = 3.05 (713.2 examples/sec; 0.179 sec/batch)
2016-10-15 01:36:14.051409: step 640, loss = 3.06 (732.6 examples/sec; 0.175 sec/batch)
